   155/499     10.8G   0.03074   0.08845  0.005877    0.1251       325      1376    0.6192    0.5361    0.5452     0.323   0.03988    0.4026   0.02522
   156/499     10.8G   0.03077   0.08785  0.005801    0.1244       221      1376    0.6195    0.5367    0.5455     0.323   0.03987    0.4025   0.02521
   157/499     10.8G   0.03079   0.08806  0.005847    0.1247       150      1376    0.6192    0.5365    0.5456    0.3231   0.03986    0.4025    0.0252
   158/499     10.8G   0.03085   0.08783  0.005908    0.1246       251      1376    0.6235    0.5341    0.5459    0.3234   0.03985    0.4025    0.0252
   159/499     10.8G   0.03072    0.0886  0.005836    0.1252       408      1376     0.594    0.5576     0.546    0.3236   0.03984    0.4025   0.02517
   160/499     10.8G   0.03059   0.08764  0.005739     0.124       280      1376    0.6238    0.5353    0.5463     0.324   0.03983    0.4026   0.02517
   161/499     10.8G   0.03067   0.08799  0.005776    0.1244       322      1376    0.6068     0.549    0.5464    0.3239   0.03982    0.4026   0.02516
   162/499     10.8G   0.03065   0.08863  0.005787    0.1251       318      1376    0.6232    0.5365    0.5464    0.3239   0.03981    0.4026   0.02515
   163/499     10.8G   0.03057   0.08624  0.005734    0.1225       227      1376    0.6237    0.5365    0.5466    0.3239    0.0398    0.4027   0.02513
   164/499     10.8G   0.03072   0.08784  0.005689    0.1243       185      1376    0.6168    0.5421    0.5467    0.3239    0.0398    0.4028   0.02512
   165/499     10.8G   0.03054    0.0893  0.005807    0.1257       452      1376     0.616    0.5435    0.5466    0.3241   0.03979    0.4028   0.02511
   166/499     10.8G   0.03064   0.08707   0.00577    0.1235       109      1376    0.6139    0.5457    0.5467    0.3242   0.03978    0.4028    0.0251
   167/499     10.8G   0.03063   0.08777  0.005674    0.1241       137      1376    0.6061    0.5506    0.5467    0.3241   0.03977    0.4029    0.0251
   168/499     10.8G   0.03067   0.08874  0.005736    0.1251       115      1376    0.6093    0.5482    0.5469    0.3244   0.03976     0.403   0.02509
   169/499     10.8G   0.03056   0.08746  0.005691    0.1237       329      1376    0.6079    0.5494    0.5469    0.3243   0.03976     0.403   0.02508
   170/499     10.8G   0.03045   0.08733    0.0057    0.1235       457      1376    0.6114    0.5467     0.547    0.3245   0.03975    0.4031   0.02507
